KEGG_module	Metabolite_cluster	SCC.bg.adj	p.adjust
M00432	L05	0.0879269509366693	0.0165959796706845
M00208	L05	0.0792686556506246	0.0210969460704381
M00237	L05	-0.108223047696011	0.00434519043181032
M00357	L05	-0.111166867265549	2.70585108303346e-05
M00535	L05	0.104121459957845	0.00499819304297538
M00061	L05	0.117480214092483	0.00135360126565837
M00530	L05	-0.0270173840667002	0.276349669964095
M00239	L05	-0.175661597865043	0.000819401116772123
M00307	L05	-0.0892917234921798	0.00182778411930186
M00149	L05	0.0778659504056256	0.0556445057265824
M00019	L05	0.0873652885186463	0.00519930139606849
M00348	L05	-0.0293259320987422	0.487425145094092
M00390	L05	-0.0998995454049434	0.0112690597425859
M00188	L05	-0.0799888414439607	0.133418295733063
M00063	L05	0.0926707663483092	0.0158155495043853
M00563	L05	-0.0916436273186614	0.00530859539771203
M00060	L05	0.0945929464626626	0.000256614342273471
M00179	L05	-0.0487744893533299	5.04547638426196e-09
M00332	L05	-0.0273299644891209	0.381662431970857
M00122	L05	-0.0490595644207828	0.0393158727250315
M00440	L05	-0.068149765889214	0.077690606102791
M00360	L05	-0.0512087130378886	0.00345345787737687
M00184	L05	-0.0854992115057206	0.000206619228303051
M00567	L05	-0.1259382758705	3.05957078378458e-13
M00356	L05	-0.103830533417323	0.000216991802851432
M00310	L05	-0.0820506064433142	0.026032989378665
M00230	L05	0.100825446542896	0.00915275340612819
M00127	L05	0.0821578008683054	0.014743244619792
M00023	L05	0.095112958763642	0.000263433261421454
M00178	L05	-0.0387171657532617	0.000109612917063657
M00259	L05	0.0171438804065524	0.777623780626162
M00311	L05	-0.0130462736515482	0.701166628860592
M00048	L05	0.016932818809074	0.519773268076618
M00439	L05	-0.114891033601339	0.00372438485972024
M00197	L05	0.0107174946635159	0.970572541855757
M00159	L05	-0.11608352761698	0.000231641489499934
M00051	L05	0.0279081186414981	0.0303790097417116
M00124	L04	0.0757386650964101	0.0714585292414751
M00570	L04	0.0745785281862032	0.0141094016425622
M00432	L04	0.106568564221063	0.0244192257891312
M00208	L04	0.140367316408574	0.0100477778523056
M00237	L04	-0.136691221441202	0.000832277745386391
M00357	L04	-0.0605753366656129	0.00137041011155756
M00535	L04	0.129421923769389	0.00595340160596612
M00061	L04	0.173419949456515	0.00219661828290759
M00530	L04	0.0566440736411773	0.0435798006270188
M00239	L04	-0.126181487589615	0.0010224056286652
M00307	L04	-0.0401940270903589	0.0901692519995016
M00149	L04	0.0872940567079328	0.0230725632814331
M00019	L04	0.0788874677898335	0.0228379500432251
M00348	L04	0.0607394565530107	0.0938313875846676
M00390	L04	-0.0645815852220132	0.066681982089445
M00188	L04	-0.0401034168415669	0.25762673153218
M00063	L04	0.0890299793259843	0.0324591502683418
M00563	L04	-0.0328658811420394	0.0918520166705615
M00060	L04	0.109900141614853	0.00017120763222808
M00179	L04	-0.0584002990317531	3.52380161571294e-12
M00332	L04	0.013019034645391	0.447967236004845
M00122	L04	0.0245584329705697	0.716916569912402
M00440	L04	0.0530054143063417	0.342841699289227
M00360	L04	-0.10316631783207	8.68368193290541e-10
M00184	L04	-1.36065484113504e-05	0.357338383770408
M00567	L04	-0.0725658855985078	9.51543576983994e-08
M00356	L04	-0.0485053902522406	0.0165959796706845
M00310	L04	-0.0742690852650458	0.0167090694016225
M00230	L04	0.0936267253967396	0.0207374623802034
M00127	L04	0.0814955450470444	0.0425289894458315
M00023	L04	0.111680297533198	0.0010635362157305
M00178	L04	-0.0737461102018848	4.98004341062468e-11
M00259	L04	0.0659263146440356	0.171525069515259
M00311	L04	0.0185233754518679	0.377640741787366
M00048	L04	0.00549869366452488	0.892061123794452
M00439	L04	-0.106076529907632	0.00214887490113904
M00197	L04	-0.0162087480908543	0.558540921670244
M00159	L04	-0.00866586342817723	0.515539044801553
M00051	L04	0.00712161759126089	0.810758323331766
M00124	L11	0.00659539341543038	0.485186556937919
M00570	L11	0.148716711926501	0.00168711859840947
M00432	L11	0.146226397759684	0.00569763953662279
M00208	L11	0.0832124870792916	0.0328993255339246
M00237	L11	-0.155281477508156	0.00176099171294582
M00357	L11	-0.0803279390785	0.000781633959719731
M00535	L11	0.169327676851421	0.003816188388807
M00061	L11	0.129713011911556	0.00249775392985231
M00530	L11	0.0203710264154995	0.208442704501634
M00239	L11	-0.188800845708324	0.00113682207847483
M00307	L11	-0.132172613890649	0.00035326930847309
M00149	L11	0.152931182748306	0.0131138278060472
M00019	L11	0.160040776062715	0.00397441137742843
