	module	kME	kIN	cluster_name	HOMA.ir_estimate	HOMA.ir_p.value	HOMA.ir_p.adjust	HOMA.ir_BMI.adj.partial_estimate	HOMA.ir_BMI.adj.partial_p.value	HOMA.ir_BMI.adj.partial_p.adjust
L_159_unknown	yellow	0.813904084513595	2.47267451769104	L26	0.0948605463645518	0.107557055894561	0.168094771042735	0.0702872605685426	0.234401096413982	0.36487800323905
L_155_unknown	yellow	0.832996731189681	2.40950653302865	L26	0.170315786662646	0.00368349056732075	0.00766899239707353	0.129417545746023	0.0280933704459563	0.0604663206650067
L_760_unknown	yellow	0.775319548161718	2.11051032126877	L26	0.0803901417588016	0.172908871774683	0.254141227641983	0.0837193131303655	0.156461336297791	0.264594846712094
L_414_TG.53.3.	yellow	0.747603084502245	1.86580223456818	L26	0.0878551751579314	0.136238033176416	0.209009662106026	0.0859222580459445	0.145808089444648	0.250446835987278
L_257_unknown	yellow	0.5993262355719	1.6379613071903	L26	0.160599204472069	0.00621652216308717	0.0124047230406933	0.134280518728216	0.0226529563509494	0.0496099744085792
L_1773_TG.59.7.	yellow	0.595438160345939	1.58411694171389	L26	0.140583751566745	0.0167817664315658	0.0314792877816952	0.113414489373383	0.0545372523271916	0.110190165795169
L_1168_unknown	yellow	0.785887751913411	1.49503094455434	L26	0.0594966544706001	0.313477112479199	0.414186954044914	0.0776877738957375	0.188624452909877	0.30770022485857
L_264_unknown	yellow	0.72385537648975	1.47547028368535	L26	0.0143477782740905	0.808107931626515	0.866465787154011	0.0688663104179822	0.24401859248682	0.375677130085156
L_2556_unknown	yellow	0.699935171891642	1.07146044258776	L26	-0.00402378532912577	0.94569952752388	0.964415350536576	0.0492845333644649	0.404700739395666	0.542076219740984
L_278_unknown	yellow	0.650799118876816	0.967144781155056	L26	-0.303530267787035	1.42248097019419e-07	5.51368730039872e-07	-0.195129250708742	0.000871240790200407	0.00300475170163605
L_2431_unknown	yellow	0.588322786480335	0.802186004401267	L26	0.108593700570628	0.0652491008561288	0.108049550756085	0.0643147918873193	0.276666583120585	0.413583492856028
L_775_unknown	yellow	0.373258894643787	0.0609254734147102	L26	-0.0692202012398518	0.240775328353416	0.33426178706433	-0.0385235417391504	0.514940150424412	0.653750104017079
L_843_unknown	yellow	0.27794211110129	0.0268416798374873	L26	0.15902819451109	0.00674815434810135	0.0133741701559656	0.0477495146992364	0.419509450082715	0.554283979294809
L_826_unknown	lightcyan1	0.788917616535333	0.41452275693626	L27	0.0979856523097292	0.0964045778139485	0.151889226915502	0.110211460276063	0.0617745529859392	0.122708635863226
L_447_unknown	lightcyan1	0.78562307793377	0.412007987266651	L27	0.132153626551308	0.0246567786432263	0.044719126483367	0.125786893662862	0.0328531613593501	0.069900350143551
L_559_unknown	lightcyan1	0.833038608861063	0.322969923202335	L27	0.00030917754615215	0.995824498160204	0.996365327465329	0.0602933931510582	0.307875098046898	0.447261336466141
